SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
3056,SOPEGZN12AB0181B3D,339485,Get Your Head Stuck On Your Neck,AREDL271187FB40F44,,,,Soul Mekanik,0,45.66159,5,0.194,190.698,4,0.876,Get Your Head Stuck On Your Neck,0
3057,SOQOTLQ12AB01868D0,726003,Il meglio di Gloriana,ARGCY1Y1187B9A4FA5,36.16778,Nashville TN.,-86.77836,Gloriana,0,153.33832,2,0.573,143.601,1,0,Clementina SantafíÂ,0
3058,SOGVQGJ12AB017F169,546323,Ten Tonne EP,AR62SOJ1187FB47BB5,,,,Chase & Status,0,337.68444,4,0.409,174.993,4,0.753,Ten Tonne,2005
3059,SOTCKKY12AB018A141,769648,Sonneries tyroliennes,ARGSAFR1269FB35070,,,,Blingtones,0,29.54404,6,0.208,95.225,3,0.393,Sonnerie lalaleulí© hi houuu,0
3060,SOFFKZS12AB017F194,542173,Wildflowers,ARBEBBY1187B9B43DB,,Gainesville FL,,Tom Petty,0,236.17261,9,0.58,129.122,4,0,A Higher Place (Album Version),1994
3061,SOXILUQ12A58A7C72A,615284,American Legend,ARP6N5A1187B99D1A3,,Hamtramck MI,,Mitch Ryder,0,207.43791,9,0.674,97.538,4,0.727,Jenny Take a Ride,2004
3062,SOBCOSW12A8C13D398,300163,Rumbas Sin Fronte Ras,AR7SMBG1187B9B9066,,,,Los Manolos,0,218.38322,7,0.403,118.595,4,0.664,Rumba De Barcelona,0
3063,SOBKWDJ12A8C13B2F3,102907,Wild Rose,AR36F9J1187FB406F1,56.27609,Denmark,9.51695,Bombay Rockers,0,230.71302,4,0.282,81.319,3,0.125,Wild Rose (Back 2 Basics Mix),0
3064,SOOJPRH12A8C141995,173863,Trial and Error,ARBGXIG122988F409D,37.77916,California - SF,-122.42005,Steel Rain,0,173.19138,3,0.043,98.11,4,0.65,Loaded Like A Gun,0
3065,SOXTTCW12A8C1331EF,286870,Ghost Ship,ARFZSPU1187B9B5BA9,,,,John Frizzell,0,133.19791,10,0.028,210.898,4,0.31,No Unexpected Guests,2002
3066,SOSOQET12AB0181A68,484857,The Truth,AR858UO1187FB437B4,35.21962,North Carolina,-80.01955,Precious Bryant,0,193.72363,4,0.489,91.538,4,1,Dark Angel,2005
3067,SOVIRCP12AB01891FE,756949,La Leyenda,AROF4LP1187FB41C51,31.1689,Texas,-100.07715,Selena,0,388.51873,9,0.392,106.438,1,0.509,Ven Conmigo/Perdoname (Live),0
3068,SOTKKSP12A6BD53D32,72103,Rubikon,AREUYDJ1187B9BA040,,Haví_Å»ov Ûëeskíç republika,,Krystof,0,262.55628,2,0.41,93.015,4,0.901,Prvni vesela,2006
3069,SOGJYZW12A8C134DBD,150242,Everything Went Black,ARQ76LG1187B9ACD84,34.05349,Los Angeles CA,-118.24532,Black Flag,0,1030.19057,0,0.587,70.649,5,0.99,Crass Commercialism,1982
3070,SONUYNP12C41E0741F,22096,#8,AR93D4D1187FB3ACAD,35.472,Oklahoma City OK,-97.52033,J.J. Cale,0,202.94485,6,0.407,133.398,1,0,Trouble In The City,1983
3071,SORCBRS12A8C138350,151246,Chain Letter,AR8LMZM1187B9A8160,,Houston TX,,Brooke Valentine,0,261.53751,1,0.826,111.936,4,0.955,Taste Of Dis (Explicit Version),2005
3072,SOCOICY12A8C140D18,315023,Sex On Fire,ARF2EHS1187B994F4E,36.16778,Nashville Tennessee,-86.77836,Kings Of Leon,0,466.65098,9,0,114.73,4,0.572,Knocked Up,2007
3073,SOXZUAY12A58A7B63C,557522,Touchpaper,ARCP8YG1187B997D72,52.88356,UK - England - South East,-1.97406,Claire Hamill,0,205.42649,9,0.789,101.662,4,0.618,If Youd Only Talk To Me (Bonus Track),0
3074,SOKMFTY12AB0183216,555552,Release,AREPD8D1187FB3F5BC,,Gainesville FL,,Sister Hazel,0,195.36934,5,0.809,140.259,4,0.019,Walls And Cannonballs (Album),2010
3075,SOCMIYJ12A8C1384E3,156712,Perro Malagradecido,ARP07GD1187B9B9DA4,,,,Los Originales De San Juan,0,263.6273,5,0.762,179.502,3,0.685,Librado Maldonado,0
3076,SOBDARW12AB018BB05,769962,A Night In Monte-Carlo (Live),ARGEKDX1187FB3A5BF,40.65507,Brooklyn NY,-73.94888,Marcus Miller,0,409.05098,0,0.517,152.194,3,0.396,Your Amazing Grace (feat. Raul Midí_n),0
3077,SOMTZYN12A8AE471C0,237545,Programmed to Consume,AR4CH531187FB4EA21,,,,Abysmal Dawn,0,250.3571,7,0.877,125.086,1,0,Compulsory Resurrection,2008
3078,SOJCHPN12A8C132491,142115,Turbocharger,ARPGPI81187B98AEEA,34.16788,Arizona,-111.9307,Chaotica,0,243.25179,4,0.497,135.072,4,0.578,Lobotomy,0
3079,SODGOXT12A8C1418DE,475523,Hit Club_ The Hits 1949,ARK82DC1187B9A1FEB,38.59264,Webster Groves MO,-90.35591,Gordon Jenkins,0,190.48444,5,0.098,66.988,4,0.819,Dont Cry_ Joe,0
3080,SOVXNAP12A81C234AE,130556,Into A Swan,ARSTSEH121318C5B01,,,,Siouxsie,0,234.55302,8,0.893,115.033,4,0,Into A Swan,2007
3081,SOPMOPR12A6D4FBC72,65220,Patchwork,ARECPYG11C8A42B5BF,,,,1. Futurologischer Congress,0,107.49342,0,0.929,80.315,5,0.879,La Excursion,0
3082,SOLQSUX12AF72AB397,747512,House Of Blue Lights,AR0CDSK1187FB52ED6,,Paw Paw WV,,Asleep At The Wheel,0,251.37587,0,0.335,126.533,4,0.089,Big Balls And Cow Town,0
3083,SOLRRKL12A6D4F9A14,226854,Gettin My Groove Back,ARJIWJH1187FB3F6B9,34.14632,Glendale CA,-118.24802,Elvin Bishop,0,254.56281,7,0.817,150.013,4,0.918,Party Til The Cows Come Home,2005
3084,SONVUII12AB0183269,421999,Keep cool,AR1KMPF1187B99AA98,,,,Lara & The Gumbo Lickers,0,232.85506,8,0.376,93.425,7,0.987,The tears I cried,0
3085,SORDNTC12A8C13FE63,221445,October,ARCP8YG1187B997D72,52.88356,UK - England - South East,-1.97406,Claire Hamill,0,123.71546,9,0.612,178.725,1,0,To The Stars,0
3086,SOMRFYS12A8C13CCA4,114398,Lets Make Up And Be Friendly,AR0NKFJ1187B9AF1FF,51.77045,Essex England,0.64255,Neil Innes,0,190.74567,7,1,141.116,4,0,Lie Down And Be Counted (2007 Digital Remaster),0
3087,SOPLBWU12AB01894DE,647842,The Camp Is Back,ARF88UQ1187FB5A3E9,37.77916,California - SF,-122.42005,Jay Tee & Baby Bash,0,203.67628,6,0.123,98.983,4,1,All Over Me,0
3088,SOPMNJT12A8C13AC24,104062,The Definitive Collection,ARABFU01187FB46712,,,,STEVE CAMP,0,296.14975,5,0.523,139.07,4,0.021,Song For Mom (LP Version),0
3089,SOMGTTY12AB0185986,691036,Number Ones,AR14CJ91187FB3A994,35.52069,Madisonville TN,-84.36354,Eddy Arnold,0,166.16444,11,0.292,157.779,4,0.483,Just A Little Lovin (Will Go A Long Way),1967
3090,SOWHNGE12A8C133D07,282385,Passion,AR0AVIB1187FB37D01,,Englewood NJ,,Regina Belle,0,307.33016,7,0.716,92.672,4,0.962,Quiet Time,1993
3091,SOISHVF12A8AE496BB,138009,The Hinderers,AR08GQF1187B98E316,,,,Daath,0,230.86975,0,0.67,97.151,4,0.824,From The Blind (LP Version),2006
3092,SOJFCDO12AB01852EE,420785,High Kicks,ARQZTGO11E8F5C0768,,,,The Stolen Minks,0,56.42404,2,0.137,123.695,4,0.782,I Hate You,0
3093,SOLULNS12A8C13008E,597320,Round Every Corner,AR7OCK81187B98D1F1,34.05349,Los Angeles CA,-118.24532,Debbie Davies,0,225.67138,7,0.036,116.984,4,0.672,Little Sister,1998
3094,SOAXGUT12AB0184D53,463706,French Touch,ARWI6LR1187FB46E9F,43.57607,Le Cannet France,7.01815,Richard Galliano,0,261.74649,9,0.503,76.296,3,0.51,L Envers Du Dí©cor,1999
3095,SOILUPR12AB0186FC1,678270,Songs For A Wedding - 18 Songs For That Special Day,AR502DZ1187B98F8E1,,,,Brian Dullaghan,0,212.94975,10,0.438,99.109,4,0.491,And I Love You So,0
3096,SOIKYMH12AB0186452,665347,So Wrong_ Its Right,ARJV0U41187B9AB715,,Baltimore MD,,All Time Low,0,221.67465,2,0.403,91.483,4,0.537,Shameless,2007
3097,SOHUTDD12AB018A94F,715197,Gypsy (Original Broadway Cast),AR2JD2Z1187B998A90,40.77735,New York NY [Astoria Queens],-73.88137,Ethel Merman,0,135.31383,0,0.703,124.184,1,1,Small World,0
3098,SOUMWOQ12A8C13A949,296872,Daughters Of the Celtic Moon: A Windham Hill Collection featuring Lisa Lynne,ARU0HTX1187B98B4C6,34.05349,California - LA,-118.24532,Lisa Lynne,0,298.10893,0,0.63,94.031,5,0.328,Lake Of Dreams,1998
3099,SOHNDEQ12A6D4F9FBE,395333,New Grass Revival With Leon Russell Live,AR7TTCH1187FB3F95C,34.60515,Lawton OK,-98.38983,Leon Russell & New Grass Revival,0,221.30893,5,0.755,157.746,1,0,Truck Driving Man/Down In The Caribbean,0
3100,SOPOIQJ12A6701C8CF,15327,Lyricist Lounge Vol. 1,ARPYBWQ1187B989C0D,,,,Natural Elements,0,338.1024,1,0.417,185.88,4,0.728,Mayday,1998
3101,SOIUJEF12A8C13C878,307149,Love Songs,ARUE3AK1187B9AC923,,Brooklyn NY,,Neil Sedaka,0,170.84036,4,0.44,76.013,3,0.303,Because Of You,1999
3102,SOLCALW12A8C132870,138157,Live In The Lou,ARF6ZTO1187FB3684F,,LONG BEACH California,,Story Of The Year,0,75.57179,6,0.016,100.032,4,1,Swallow The Knife (Live) (Segue),2005
3103,SOCTPFZ12AAF3B45AE,323381,That Which Remains,ARXN7S71187B9941BE,,,,Coph Nia,0,658.02404,5,0.136,116.819,3,0.686,Doppelgí_nger [Qliphothic Phantasmagoria],2000
3104,SODLRRT12AB0189535,463518,Chasing Monsters,AR1Y2PT1187FB5B9CE,27.94017,Brandon,-82.32547,John Wesley_ John Wesley,0,351.08526,7,0.691,133.405,5,0.813,Disappeared,0
3105,SORZLRP12AB017D68D,588630,Ocean,ARRS5961187B99F9DE,,,,Jauida,0,269.76608,7,0,101.01,4,0.681,I dont Want to Be Alone Tonight,0
3106,SOADEBB12A8C1345D9,252341,Something Deeper Than These Changes,ARGC7FQ1187FB409CC,40.71455,New York,-74.00712,Stew,0,179.9571,7,0.926,100.621,1,0,Tomorrow Gone,2003
3107,SOMYOQU12A8C13C2B4,212353,The Faithless,ARXIIEY1187FB44EAF,35.14968,Memphis TN,-90.04892,Nights Like These,0,305.89342,5,0.283,124.872,1,0.93,Ghost Town Rituals (Album Version),2006
3108,SOLUIMX12AB0189599,658324,Rattlesnake!,ARQ05GM1187B990512,33.99604,Chino Hills CA,-117.75801,A Static Lullaby,0,213.49832,2,0.819,202.233,4,0.078,Rattlesnake!,2008
3109,SOXXFEW12AB017F2A8,386702,Joue Legrand & Becaud,AR6W9T51187B9A8B8E,,,,Maurice Larcange,0,215.37914,1,0.771,133.553,4,0.22,Un Peu DAmour Et DAmitií©,0
3110,SOWETWO12A6D4FA5F3,48411,Stop The Clocks,ARBUOOR1187B997391,,Manchester England,,Oasis,0,301.92281,0,0.236,136.948,4,0.461,Morning Glory,0
3111,SOFGVWR12A8C141D19,748222,Santa Claus Is Coming To Town,ARQ9BO41187FB5CF1F,40.99471,Pennsylvania,-77.60454,John Davis & Emma Doyle,0,135.52281,0,0.568,169.878,4,0.179,Rudolph The Red-Nosed Reindeer,0
3112,SOPDILX12AF72AA3C2,708200,Aint No Love (Aint No Use),AR1072G1187FB5B351,,Texas,,Tabu feat. Mitzib,0,474.61832,11,0.727,127.887,4,0.403,Aint No Love Aint No Use (Love To Infinity Full Funk Mix),0
3113,SODQWRC12A8C13D19B,167972,All Things Must Pass,ARW9QSZ1187FB4B93E,,Liverpool England,,George Harrison,0,359.73179,6,0.266,133.383,4,0,Hear Me Lord (2001 Digital Remaster),0
3114,SOUOYDQ12AB017EFFC,328589,Harmony And Dissidence,AREP8KM1187B9A3A7B,,,,Jackson United,0,204.93016,11,0.378,90.636,4,0,Undertow,2008
3115,SOOBPLB12AB018ABBA,588884,Dark And Dreary,ART70HI1187B9A37BC,32.20703,Richland MS,-90.14988,Elmore James,0,191.13751,0,0.707,97.03,3,1,Dumb Woman Blues,0
3116,SOKIXDM12A8C136E04,156038,B.A.D. (Be A Devil),ARCEOW71187B9A5A71,51.50632,London England,-0.12714,B.A.D.,0,102.03383,0,0.032,95.655,4,1,Interlude,0
3117,SONETAK12A6D4FB69A,60339,The Best of Bobbie Gentry: The Capitol Years,ARQXAUH1187B9BA010,33.90698,Chickasaw County MS,-88.95535,Bobbie Gentry,0,177.57995,2,0.724,152.434,1,0.066,Courtyard,1968
3118,SOVSLSQ12A6D4F8F77,34603,The Baby Huey Story: The Living Legend,ARVZPW91187FB4D73C,,,,Baby Huey & The Baby Sitters,0,288.36526,2,0.634,132.973,1,0,California Dreamin (LP Version),1971
3119,SOKAYCT12AB018ACE9,722045,American Dread,ARCICZN11EB9C810B3,27.9758,Florida,-81.54106,Rising Lion,0,280.45016,7,0.966,88.137,4,0.109,Letting You Back In,0
3120,SOSOMQZ12AB0180900,537517,The Best Of (featuring Johnny Guitar Williamson),ARLH4CH11C8A4173EC,42.2306,Lanciano Italy,14.39059,Creedence Clearwater Revived,0,257.59302,0,0.575,121.232,4,0.47,Have You Ever Seen The Rain,0
3121,SOPYZLU12A8C14193C,310421,Eighteen Visions,ARV1ALU1187FB4D77E,33.6671,Orange County CA,-117.76505,Eighteen Visions,0,172.19873,6,0.274,131.079,4,0.664,Our Darkest Days,2006
3122,SOPJIAU12A8C13DF3A,113380,lo mejor de  Luar na Lubre,ARHBYTA1187FB3C812,,,,Luar Na Lubre,0,251.81995,2,0.44,229.913,3,0.493,Terra,2001
3123,SOQLNGZ12A8C1314E8,285677,Boots Randolphs Yakety Sax!,ARUF71J1187FB511C1,37.08571,Paducah KY,-88.59583,Boots Randolph,0,150.20363,0,0.826,101.485,3,1,Lonely Street,1963
3124,SOARVHI12AB018C588,662089,Greatest Hits,ARDQO721187FB3C6D9,,,,Rodney O & Joe Cooley,0,217.41669,1,0.329,107.185,4,1,U Dont Hear Me Tho (Street Mix),1993
3125,SOHSGTX12A67020685,15588,The Green Album,AR633SY1187B9AC3B9,,,,Weezer,0,180.97587,2,0.63,142.68,4,0.591,Dont Let Go,2001
3126,SOUIYTT12A8C137D45,161790,Jukebox Hits 1946-1954,ARRHVVL1187B991E41,,Vallejo CA,,The Johnny Otis Orchestra,0,182.15138,5,0.858,105.268,3,0.861,Cry Baby,0
3127,SONPXHA12AB017D876,436788,Zetrons,ARD88QA119B3403A02,,,,The Cosmosamatics,0,515.97016,8,0.334,61.487,5,0.92,12 Seasons of Love,0
3128,SOKTTZL12A67ADC7CD,734716,Battle Metal,ARNDBEM1187B9A2918,64.95014,H¥Ë_enlinna Finland,26.06739,Turisas,0,146.59873,0,0.146,160.009,4,0.485,Sahti Waari,2004
3129,SOLTRLC12A8C13E710,114406,Das Album zum Film,AR5BLB01187FB57E99,,,,Headliners,0,169.56036,4,0.373,88.001,3,1,Negativ Song,2006
3130,SODPTKR12AAFF43568,384736,The Original Memphis Blues Brothers,ARDK5LC1187B9AB681,35.36302,Rosemark TN,-89.77895,Bobby Bland,0,181.49832,2,0.592,105.927,3,1,Drifting From Town To Town,2006
3131,SOQXUJL12A6D4FA238,52709,Mimikra,ARXY0SI1187B9B3064,,,,Kasia Stankiewicz,0,304.06485,0,0.613,134.051,4,0.112,Zolte Slonie,2006
3132,SOZDUEQ12A8C14440E,428735,Ketukuba,ARDNW1B1187FB4ABBB,,,,Chí©co Feliciano And Joe King,0,273.65832,5,0.494,87.976,7,0.409,Nina Nina,2006
3133,SOWXYMX12AB017F190,542178,Youre My World,ARLZ2LD1187B9B17FD,41.18466,Bridgeport CT,-73.19907,Emilia,0,174.81098,7,0.351,86.62,4,0.477,Youre My World,0
3134,SOHGDHJ12A8C13F54D,174635,Blind Blake Vol. 1 (1926 - 1927),AR97EHA1187B98AD5F,30.33138,Jacksonville FL,-81.6558,Blind Blake,0,186.90567,0,0.559,86.997,1,0,Blakes Worried Blues,0
3135,SOIKLHC12A6D4FA158,34130,Sangre De Mi Alma,ARV6QHT1187FB5537A,,,,Nana Caymmi,0,216.86812,11,0.611,179.575,1,0,Solamente Una Vez,0
3136,SOLCIZY12A6D4F6A61,24765,10 Aniversario,ARMT23H1187B995083,29.42449,SAN ANTONIO Texas,-98.49462,Emilio,0,165.22404,10,0.653,205.333,4,0.261,Mira Nina,0
3137,SOAIGUM12A6D4F6FCB,34575,See,ARSYOWS1187FB41157,40.71455,New York NY,-74.00712,The Rascals,0,223.89506,2,0.828,113.058,1,0,Nubia (LP Version),0
3138,SOWMUXA12AB01840EC,346332,Prayer,ARGAWJY11F50C50904,,,,Jane Winther,0,145.68444,8,0.527,27.163,1,0,The Lords Prayer,0
3139,SOUSQZF12A8C13BBB9,303880,Grandes Exitos: Complicidad,ARGWFMR1187B98D0E7,-19.59634,ES,-40.77105,Cí_mplices,0,307.56526,0,0.164,100.051,4,0.95,Ojos Gitanos,1991
3140,SOQVGKZ12A6D4F8244,25826,Becstasy,ARXP9GE1187FB3ED0E,42.68318,Rochester MI,-83.13702,Becky Baeling,0,247.66649,7,0.447,132.892,4,0.398,If You Love Me,2003
3141,SOZXPDN12AB018302E,500301,Ultrakurzwelle,ARQAXT91187B99103A,,,,UKW,0,266.762,0,0.714,97.362,3,1,Allein,0
3142,SOKJKUH12A8AE46FAA,278622,Innovation The Album Mixed By Shy FX,AR8S3OI1187B9B92E4,,,,Shy FX & T Power,0,380.44689,4,0.056,88.973,4,1,Feelings,2005
3143,SOMLPQI12A8C13EE3F,308612,Suitcase,ARO0QD41187FB3AB0A,34.05349,Los Angeles CA,-118.24532,Keb Mo,0,190.56281,2,0.815,89.966,4,1,Still There For Me,2006
3144,SOYJBVO12AB0189DB3,715143,Before & After,AR6C6VO1187FB4E267,35.14968,Memphis TN,-90.04892,Tora Tora,0,229.8771,9,0.661,140.984,4,1,Wasted Love,0
3145,SOWSLOF12AB017FE36,388945,Classic Latino,AR9JNFU1187B9B9868,,,,Gal Costa,0,193.35791,9,0.244,137.941,4,0.201,Canta Brasil,1981
3146,SOKXZEJ12AC3DF5E1E,776987,Coming On Strong,ARWA8AH1187FB3FC84,51.50632,London,-0.12714,Hot Chip,0,181.02812,1,0.914,126.14,4,0,Ass Attack (Four Tet Remix),2004
3147,SOBKPCA12A8C131AD9,282034,James Taylor Live,ARSF0K11187B9AF319,,London England,,James Taylor,0,324.85832,7,0.608,102.756,3,1,Steamroller Blues,0
3148,SOJWZGJ12A670203B7,11462,Suit Yourself,ARA3VJJ1187FB3F5A6,,Quantico VA,,Shelby Lynne,0,290.97751,7,0.738,121.773,4,1,Old Times Sake,2005
3149,SOEDDXY12AC907580A,739802,Italo Dance Collection_ Vol. 1,ARZY28S1187FB40BAB,-33.91906,Cape Town ZA,18.42196,Taboo,0,301.71383,9,0.038,131.968,4,0,Sous la Tour Eiffel,0
3150,SOHJIJX12AB01821ED,460246,Drama_ Spiel und Blut (Das Archiv Teil 1),ARFY8NV1187B9B1961,,,,Der Moderne Man,0,183.30077,4,0.578,147.679,1,0,Heute,0
3151,SOJBWGF12A8159E883,496543,Eleanor Put Your Boots On,ARYVO9V1187B9B1FC6,,Glasgow Scotland,,Franz Ferdinand,0,195.13424,7,0.594,143.679,1,0,Eleanor Put Your Boots On,2005
3152,SOTTJUN12A8C132C22,243895,Coal,AR1DR0E1187FB48F61,,Cross Lane WV,,Kathy Mattea,0,44.64281,1,0.426,146.894,1,0,Sally In the Garden,2008
3153,SOFDOAD12A58A7BAD3,363561,Performing this week... At Ronnie Scotts,ARHI20L1187FB4C997,51.27172,Wallington Surrey England,-0.39535,Jeff Beck,0,286.27546,4,0.315,145.917,1,0,A Day In The Life (Album Version),0
3154,SOLEQYS12AB017D59D,483228,Extasick and This Dirty Musick,ARZGMLE11F4C840C9D,,,,Extasick,0,134.03383,2,0.049,91.459,4,0.919,Misanthrope,0
3155,SOPHMAS12AB0186B88,516641,The Official Bootleg Box Set,AROATPL1187FB48E12,34.16788,Arizona,-111.9307,UFO,0,212.61016,7,0.834,116.11,4,1,Chains Chains (Live In Hammersmith),0
3156,SOFZJFU12A8C1420A1,611925,Pat Travers,ARYCP7D1187B99516B,43.64856,Toronto Canada,-79.38533,Pat Travers,0,152.99873,9,0.635,140.872,4,0.336,As My Fire Flies,0
3157,SOWFQKL12AB017D754,452242,Le MystíÂre de la Chambre Jaune (Bande Originale du Film),ARWNRBH1187B9B7E68,48.88437,Neuilly-sur-Seine France,2.26934,Philippe Sarde,0,158.82404,2,0.492,85.691,3,0.748,Le PresbytíÂre na rien perdu de son Charme,0
3158,SOOBSJW12A6D4FA2B2,124147,Hustlenomics,AROHMXL1187B9AF4B2,,College Park Georgia,,Yung Joc,0,193.64526,4,0.004,174.019,4,0.034,BYOB (Explicit Album Version),2007
3159,SOISSLO12AC96185B0,601992,Jetzt gehts ab - Jubilí_ums-Edition,ARMD6JB1187FB3B0E7,,Germany,,Die Fantastischen Vier,0,149.99465,9,0.634,120.001,4,0.548,Bí_se,1991
3160,SOKQFOM12A8C13E738,222208,To Grover_ With Love,AR0LVFQ1187B9A84E0,40.71455,NY - New York City,-74.00712,Jason Miles,0,269.40036,0,0.37,163.97,4,0.803,Brighton by the Sea,0
3161,SOCYAKZ12AB018708F,367900,The Blue Noise Session,ARFAGIR1187B997EA1,,,,Jeanie Lambe & The Danny Moss Quartet,0,152.0322,8,0.115,168.558,4,0.226,Saturday Night Is The Loneliest Night In The Week,0
3162,SOZEMEV12A6D4F9317,126280,Across the nation,ARZCEOJ1187B9A91C0,,,,State of Chaos,0,176.90077,2,0.345,97.619,3,0.53,CHAOS INTRO,0
3163,SOACHGQ12AB018590E,508063,10 De Coleccií_n,ARRVUWA1187B9A0FE2,21.51102,Cuba,-77.80679,Orquesta Aragí_n,0,173.68771,7,0,92.606,4,1,Ven Morena,2003
3164,SOVCZHI12A6D4FAB0D,123825,The Date - Dated Girls Remixes,ARBXIDR1187B9AB77E,,,,Avril - Remix By Ana Rago,0,188.39465,6,0.405,85.282,3,0.941,The Date (Remix By Ana Rago),2002
3165,SOQGZBE12A8C139160,204315,Live On St. Patricks Day,ARD2NDU1187B99B615,,Boston MA,,Dropkick Murphys,0,196.72771,9,0.008,183.808,4,0,Bloody Pig Pile (Live),2002
3166,SOAXABK12A8C13C76F,158078,Mis Momentos,AR6C8EJ1187FB3F473,, Ubíç Minas Gerais,,Nelson Ned,0,200.48934,10,0.427,146.061,4,0,A Mi No Me Importa,0
3167,SOEWJWO12AB01865EB,369886,CHRISTMAS DANCE SENSATION,ARVN9FZ1187FB393F1,,Dundee Scotland,,SNOWPATROL,0,233.03791,0,0.098,144.003,4,0,We Wish You A Merry Christmas,0
3168,SOKCFEJ12AB017BE83,538812,G.I. JOE,ARFFDZU1187FB50682,40.71455,New York NY,-74.00712,Alan Silvestri,0,504.05832,8,0.087,154.172,4,0.198,The Joes Mobilize,2009
3169,SOTSZZK12AB0189F9D,584767,Movie Stars (CD 2),ARBON001187B99BAD8,,,,Rudolph Valentino,0,184.73751,7,0.543,101.621,5,0.937,Kashmiri Love Song,1992
3170,SORMWFU12AB0185891,495943,Hold That Train,ARZ05QG1187FB3843E,31.55379,Monticello MS,-90.10785,Byther Smith,0,269.7922,0,0.706,94.554,3,0.661,So Unhappy,2004
3171,SOSQIQU12A8C143A53,522008,Sinners International,ARQDWBG1187B9891D7,,,,Zeromancer,0,362.31791,2,0.674,90.027,4,0.97,Ammonite,2009
3172,SOMXSEH12A8C1371EA,154936,Postrof,AR0693R1187FB59D32,,,,Dusminguet,0,199.13098,5,0.813,196.188,4,1,San Cristobal,2001
3173,SOUIDWL12A8C13357A,237735,Purpurina 37,AR4PZLK1187B999B4E,,Salvador BRAZIL,,Sylvia Patricia,0,259.34322,2,0.39,144.073,4,0,Marca de Amor Ní£o Sai,0
3174,SOKKRTJ12AB0182F77,324688,Chicago Blues Festival 1974 With Jimmy Dawkins,ARFZNR41187B990AF7,,Vance MS,,Sunnyland Slim,0,147.77424,9,0.168,150.867,5,0.86,I Got To Quit My Baby,0
3175,SOVGKBD12AAF3B4FFB,323408,Lazy Afternoon,AR0AVIB1187FB37D01,,Englewood NJ,,Regina Belle,0,274.80771,0,0.416,67.745,4,0,If I Ruled The World,2004
3176,SOBCKIM12A8C13936C,299146,Mi Reflejo,AR0S7TA1187FB4D024,,,,Christina Aguilera,0,266.73587,6,0.434,117.984,4,1,Pero Me Acuerdo De Tí_,2000
3177,SOSLEMJ12A8C13F86B,304190,Ystí_ví_n Laulu - 25 Unohtumatonta Laulua,ARIUQZL1187FB4303B,,,,Erkki Junkkarinen,0,215.82322,4,0.273,100.612,4,0.702,Rakkauden satu - Histoire dun Amour -,0
3178,SOTAGIH12AB018152A,435836,Ensorsoleil,AR8QW7Y119B866993A,,,,Oztara,0,207.51628,3,0.023,191.929,4,0.38,La Route Est Belle,2005
3179,SOXHJSE12A8C1364FF,292356,Faso Latido,ARQ05GM1187B990512,33.99604,Chino Hills CA,-117.75801,A Static Lullaby,0,237.42649,7,0.145,80.41,4,0.402,God Bless You (Goddamn it),2005
3180,SONKANV12AB017E5F0,400543,Belles De Zouk,ARJAVK71187B989FEF,,,,Sonia Dersion,0,269.87057,5,0.1,173.936,4,0.461,Urgence,2004
3181,SOPEYWY12A8C13A9EC,208685,Parody Of Life,ARVD9M11187FB49291,,,,Headhunter,0,312.76363,8,0.465,153.551,4,0.343,Trapped In Reality,0
3182,SODUYOC12A67ADC8ED,125805,Nuclear Blast Showdown 2006,ARBD4QW1187FB42153,62.19845,Sweden,17.55142,Scar Symmetry,0,271.5424,6,0.051,150.086,4,0.894,The Illusionist,2006
3183,SOXKCIT12A8C13A881,301389,Rosas Rojas,AR1LQNB1187B9A6AE5,,,,La Portuaria,0,132.25751,0,0.681,122.113,4,0.656,Marcando El Ritmo Al Caminar,0
3184,SOEXHZZ12AB018661D,457415,thahandclaspinduction,ARIPQAE11F4C83B78A,,,,Rummage,0,178.12853,10,0.701,95.503,4,1,Megatrend,0
3185,SOVSGKJ12A6D4F9925,74803,Justin In Love With HK Philharmonic Concert Live,ARZCXO91187FB53708,32.67828,Georgia,-83.22295,Justin,0,149.49832,11,0.383,109.702,3,0.793,Erica,0
3186,SOMKWCF12A8C142BCD,609943,Roberto Devereux,AREDW1C1187B9ACAC2,,,,Gaetano Donizetti,0,206.68036,4,0.828,107.536,3,0.517,Donizetti: Roberto Devereux: Lore trascorrono...,0
3187,SOUYCPO12AAF3B3E0B,529798,The Ken Burns Effect,AROBERX1187B9B437A,,Brooklyn NY,,Stars Like Fleas,0,264.51546,5,0.588,103.936,1,0,You Are My Memoir,2007
3188,SOVYOMR12AC468ABB9,688578,Share the Laughter,ARMD0G81187B99A519,,,,Vickie Winans,0,358.71302,10,0.374,124.194,7,0.956,Little Timmy,0
3189,SOJZZHD12AB01821A2,448675,Primal Elegance One,ARYKXSD1187B9A4DAD,,,,David Hudson,0,320.91383,4,0.397,158.321,4,0.591,Arrival,0
3190,SOSMXVH12A58A7CA6C,439614,El Amor En Los Tiempos del Colera (Love In The Time Of Cholera),AR6PJ8R1187FB5AD70,,Barranquilla Colombia,,Shakira,0,148.1922,4,0.97,115.066,1,0,Pienso En Ti,1995
